Date	Aircraft ID	Aircraft Type	From	Route	To	Hobbs Out	Hobbs In	Out	In	Total Time	Night	PIC	Dual Rcvd	Solo	XC	Sim Inst	Actual Inst	Simulator	Ground	PIC/P1 Crew	Student	Instructor	Day T/O	Day Ldg	Night T/O	Night Ldg	Approach 1	Approach 2	Holds	Remarks	Flight Review	
2026-04-06	N616AD	PA-28-181	KPDK		KPDK					2.70		2.70																		"Hans KreukTOLs- We went to CNI to practice landings but it was swirly on final so we went back to PDK to stay in the pattern and practice full stop taxi backs.
- Make sure you are completing the first protected turn check. If those instruments are reading wrong on the ground, then if will be reading wrong in the air. 
- When giving positive exchange of controls, make sure you are still on the breaks while I take controls. Once I say “my controls”, you can get off the brakes.
- On the after takeoff checklist, zoom out on the MFD to add another layer of situational awareness.
- When going through the approach checklist, do this about 20nm out to stay ahead of the plane. 3 seconds looking at your instruments and then go back to the checklist and then look back. By doing this, this will help you not getting off course.
- Pattern work:
- Keep in mind the traffic you are following, when turning the traffic is past the wing. This gives us space between the traffic that we are following and us. 
- Downwind- you use power for airspeed and pitch for altitude. This will help you stay around 90 KIAS and maintain TPA. 
- Landings: 
- 1-3) These were firm landings. Don’t take power out too soon or we are going to lose the energy we want to lose in ground effect. Once you are over the aiming point, go power idle, get in ground effect and wait for the plane to sink. Be patient with the landing and the flare, you don’t need to quicken the landing, the plane will eventually land.
- 4-7) These are the landings I’m looking for. You were patient and we landed on the main wheels then the nose wheel. You saw the difference between the earlier landings and these landings.
- 8-9) Just need to be patient in the flare and keep using aileron to fight the wind from blowing you off centerline. 
- 
- Keep up the good work and good luck on the eval!"		
2026-04-07	N385D	PA-28-181	KLZU		KLZU					1.50		1.50																		"Hans KreukTOL EVALOral: Your understanding of traffic patterns is up to where it needs to be. Thank you for coming prepared. Remember: A go-around is ALWAYS important.

Flight:

- You do a great job of talking through corrections. Keep this up as it's a fantastic habit that will help you tons in CFI. Keep it up
- You have a tendency to keep a high power setting when you start your descent, causing your airspeed to be fast and turning final to a high sight picture. Really focus on pulling the power to the known setting of 1500RPM

First lap: sat. When extending to follow, wait to turn base until they pass your wing
Second lap: sat. Good job getting back to centerline. 
Third lap: sat. 
Fourth lap - go-around: sat
Fifth lap: sat
Sixth lap: sat
Seventh lap: sat
Eighth lap: sat. Remember, you should go around for excessive balloon. Never try to save a landing
Ninth lap: sat. Saved best for last!

Overall: You did well today. Biggest thing to focus on in solo prep will be centerline discipline through the entire landing. Good work and good luck with the rest of your program"		
2026-04-09	N908A	PA-28-181	KPDK		KPDK					2.00		2.00																		"Hans KreukSolo Prep- We worked on maneuvers today. 
- Steep turns: SAT #1 &2. Keep an eye out for the bank, we want to bank 45 degrees nothing too more or to less. 
- Slow flight: SAT. When getting into the maneuver you want to maintain altitude that you chose so use pitch and and power to maintain altitude. Great job in the maneuver maintaining both airspeed and altitude. Pitch for airspeed and power for altitude. For the recovery be slower retracting flaps.
- Power off stall: 
- UNSAT: Recovery is nose down, wings level, full power, flaps 10, wait for 76 KIAS and climb up, positive rate, flaps 0. 
- SAT: better recovery
- Power on stall: SAT
- Turns around the point: Waited too long to get configured, as we were descending down you could get the plane configured. Make sure to get the CRAAC checklist completed before starting the maneuver. use pitch and power to hold airspeed and altitude. Look inside and outside to your reference point and instruments.
- 
-"		
2026-04-10	N908A	PA-28-181	KPDK		KPDK					2.10		2.10																		"Hans KreukSolo PrepWhen extending downwind, still configure like normal, but don't decend more than 200ft. At about 150ft below start to add power back to 2k rpms and maintain altitude at 80 knots.

Started off being fast on final, but corrected it about 4 landing in. 

When trimmed in the downwind and going to the proper Configurations for landing, the plane will want to slow to 80 without us making power changes and will naturally go to 70 at flaps 25. In theory, if start our before landing checklist at the proper point and altitude, we shouldn't have to make power changes.

Make sure you are fighting to stay over centerline while on final so you don't have to do as much work when in ground effect 

Watch out for drifting when on the downwind, keep the diamond on the tail of the HSI"		
2026-04-11	N908A	PA-28-181	KPDK		KPDK					2.20		2.20																		"Hans KreukSolo Prep- Great job with maneuvers today!
- 
- Steep turns:
- 1) got low from the start. Dont forget to add enough power (roughly 200-300) RPMs and add aft pressure on the controls.
- 2) much better!
- I also showed how trim is an option to help hold altitude in the maneuver. Just be careful how the extra 2 swipes of aft pressure will make it easy to balloon in the transition from the left to right turn.
- 
- Slow Flight: SAT
- Once you add flaps 40 go ahead and add power back to around 2000 RPMs to help prevent descending.
- 
- Power off stall: SAT
- Power on stall: SAT. We also did this with a 15 degree bank. Good job recovering with nose down, wings level then full power.
- 
- Emergency Descent: we did this together. Even while explaining, we had over 1600 feet until the ground once we completed the ABCDE, allow us time to set up for a downwind, base and final leg to the field. Knowing the checklist and getting through the ABCDE checklist smoothly allows for a successful engine fire scenario  
- 
- Landings: 
- The trend was to coming in high, then needing to cut power to idle and then ending up low on short final. Before turning base look back at the runway to determine if youre ready to turn base or if you need ot extend your downwind. You dont have to turn right at 200 feet below TPA. 
- Another trick with getting down a sold traffic pattern is to make adjustments from previous laps. For example: If youre high whith 4 white PAPI lights turning final, figure out what made you be so high. Was if because of turning base too soon? Leaving too much power in? Too close of a downwind to the runway? Whatever it is, make adjustments on the next lap to improve your laps and landings. 
- With landings, ailerons into the wind will allow you to hold centerline. Hold off in ground effect longer to allow the plane to bleed off more energy.
- On your go around, excellent flying, just dont worry about making the go around call the moment you elect to go around. It can wait a few seconds. Aviate, Navigate then Communicate.
- 
- It was nice flying with you today!
-"		
2026-04-13	N616AD	PA-28-181	KPDK		KPDK					2.20		2.20																		"Hans KreukSolo Prep1st couple of landings were flat, we were fast, and was not staying lined up with centerline

Good job on making those corrections especially with the flare, you seem to get the touch for it. Like we talked about in our previous flight, when flaring, you should not be climbing. That angle of attack should increase while also decending in altitude. If you see yourself climbing release some of the aft pressure 

Power off landing- make sure to pay attention to winds. Also keep in mind there are several ways to lose altitudes, but not to gain. There were a couple you would have been short on."		
2026-04-15	N616AD	PA-28-181	KPDK		KPDK					1.60		1.60																		"Hans KreukSolo Prep- TOLs at FTY
- Overall, great job on today’s solo prep flight, Hans! Here are a few notes for you from what I observed on today’s flight: 
- Don’t reach TPA until a 3 mile final. You don’t want to descend too early and risk hitting terrain. 
- Use a higher power setting when the airplane is struggling to maintain TPA. When the density altitude is higher, the airplane will require a higher power setting. 
- Use aileron input to maintain the runway centerline when you’re in ground effect.
- You handled the turbulence well today! 
- It was a pleasure flying with you. Please let me know if you have any questions."		
2026-04-20	N684A	PA-28-181	KPDK		KPDK					1.10		1.10																		"Hans KreukSolo Prep- TOLs
- Winds were about 330@12G20 by the last lap and you said you never experienced that before
- We kept it short but you did very well flying in those conditions. It is great to see that 1) you can do it and 2) there are minimums as you said you wouldnt solo in that (great choice)
- 
- Comms: overall SAT. With the traffic alert calls I challenge you to see the traffic before tower points them out to you. It will help with your situational awareness and allow you to expect whats next. Utilize eyes outside and the traffic page to accomplish this
- Go arounds: both SAT. One was due to a balloon in ground effect and the other we got too slow and low on final
- Landings: Good job using gust factor to increase your approach speed. The 4 landings were SAT. You saw how we had to hold the plane in ground effect longer than usual since we were approaching a little faster. One go around was needed because you were flaring a little too soon and due to the extra speed we ballooned. Ailerons into the wind will also help hold centerline. You were close to centerline on all 4 landing so that wasnt an issue, but the aileron corrections will help you be right on centerline.
- 
- I think today was educational. We will fly with lighter winds the rest of solo prep to focus on landings in winds you will be soloing in"		
2026-04-21	N908A	PA-28-181	KPDK		KPDK					1.70		1.70																		"Hans KreukSolo Prep- Excellent landings at CNI today!
- 5/5 on normal landings 
- 3/3 on short approaches
- 
- Comms all SAT
- Great job with the approach checklist coming into PDK. 
- 
- The only main thing to work on is traffic scanning. Returning to PDK there was a faster plane passing us off the right for about 4-5 minutes. They were on the G500 traffic page the entire time. Tower gave a traffic alert and said to follow and you said ""looking for traffic"" but you should have seen that plane well before then. Utilize the traffic page and eyes outside to help you see and avoid. It makes flying safer and allows for less comms"		
2026-04-22	N724A	PA-28-181	KPDK		KPDK					1.40		1.40																		"Hans KreukSolo Prep- All landings SAT
- 
- before crossing any runway, whether for taxi or takeoff, always clear left and right every single time. You never know if another pilot, you or ATC made a mistake. Even if the runway is closed, still always clear it. You dont want the one time someone is using the runway to be the time you dont check. I was once cleared for takeoff on 21R with a plane 5 seconds from landing. If I never looked, I would have been in a horrible situation. 
- 
- Once you clear the runway after landing monitor the ground frequency before completing the after landing checklist. At PDK they will sometimes call you right as you exit the runway so we need to listen. You can clean up the plane after monitoring while listening in case ATC calls you before you call them
- 
- I still challenge you to find traffic in the air prior to ATC calling you with traffic alerts. Ex: In the base we were advised for traffic 2 miles to our 10 oclock inbound for the parallel. Instead of saying ""looking for traffic"" (which is correct when you dont see them) we had the airplane on our traffic page the entire lap and they were visible before turning base. You then did see them which is good, but try being a little more practice locating traffic based on the traffic page and what youre hearing from ATC. Ex: If you hear ATC tell another airplane on final for the parallel about an Archer on the base for the parallel, and we are on the base, then you know they are referring to us, and then you can expect ATC to call us right after to give us a traffic alert too.
- 
- Landings have been great the last two flights. Keep it up!"		
2026-04-23	N837P	PA-28-181	KPDK		KPDK																									"Hans KreukSolo Prep- return to ramp. Held brakes for 45 minutes due to airport delays. 6 planes in line after us. We had to do full stop taxi backs and would have waited another 30-45 for a second lap."		
2026-04-29	N684A	PA-28-181	KPDK		KPDK					1.30		1.30																		"Hans KreukSolo Prep- ailerons into wind during takeoff. you did good with this after the first lap
- clear runway left and right before crossing or entering. after the first few takeoffs you did this well.
- we had gusty winds today so we need to add gust factor. EX: gusting 10 knots, divide by 2, and add to the 66 kts approach speed. since youre coming in faster youll need to hold the plane in ground effect longer to bleed off the airspeed. if you do touch down fast be careful with aerodynamic braking too much and too quickly because you can leave the ground, like we did once today
- any doubt for a go around? commit to it right away. youd rather be safe than sorry.
- comms: for reading back takeoff clearance, think about the order. 1) runway assignment 2) what youre cleared to do on the runway 3) what youre doing after. EX: ""runway 21R, cleared for takeoff, right traffic"" not, ""right traffic, cleared for takeoff, runway 21R"""		
2026-04-30	N837P	PA-28-181	KPDK		KPDK					0.90		0.90																		"Hans KreukSolo Prep- Solo prep
- Flight cut short due to inbound layer of clouds 500 AGL
- 
- Power off landings SAT
- All normal landings SAT"		
2026-05-01	N837P	PA-28-181	KPDK		KPDK					0.90		0.90																		"Hans KreukSolo Prep- Last solo prep
- Excellent flight today!
- All 3 landings were centerline, smooth and on the main landing gear. One was a power off landing as well. You held the nose off the ground for about 3 seconds on all three landings. which will be perfect for learning soft field landings soon!
- On the power off landing just watch the airspeed at the start. You were pitched for 87 initially. We want to be in the 76-80 range
-"		
2026-05-01	N730A	PA-28-181	KPDK		KPDK					1.60		1.60																		"Hans KreukSolo Eval- ATC communications and ground operations:
- Read back all ATC instructions and complied with all instructions. 
- After landing, wait to switch to ground. The reason for this is just in case tower needs to tell you something before switch over to ground. 
- 
- Landings, crosswind landings, and emergency operations:
- Great job making the correct aileron and rudder inputs to account for the winds and maintaining centerline.
- The emergency power out landing was good. You were able to maintain 76 KIAS all the way down to the runway while making the right decision when to add flaps when landing was ensured. 
- There was helicopter traffic 11 o'clock but you though tower told us they were 1 o'clock. If you are ever unsure, you can always ask tower to repeat if you didn't get it in the first time. Before turning crosswind, always double check just in case there is someone we are supposed to follow or inbound helicopters. 
- 
- Go arounds
- Great go arounds and maintaining 76 KIAS while climbing out. Great decision when you ballooned, you went around since you were unstable.
-"		
2026-05-02	N837P	PA-28-181	KPDK		KPDK					1.30		1.30		0.50																"Hans KreukSolo TOLs- Congrats on your first airplane solo!
- We will knock out two more solo flights tomorrow"		
2026-05-03	N837P	PA-28-181	KPDK		KPDK					2.50		2.50		1.80																"Hans KreukSolo TOLs- Second solo TOL flight
- 8 landings"		
2026-05-03	N837P	PA-28-181	KPDK		KPDK					0.70		0.70																		"Hans KreukSolo TOLs- Solo warm up.
- No solo. Instructor had to leave for a family emergency"		
2026-05-05	N837P	PA-28-181	KPDK		KPDK					0.80		0.80																		"Hans KreukSolo TOLs- unfortunately you didnt get to solo today
- when receiving taxi instructions make sure you are 100% certain you know what you were told to do. Verify with you airport diagram to make sure it makes sense. If there is any doubt, ask. You can also ask for progressive taxi as well.
- We will try again later this week"		
2026-05-08	N837P	PA-28-181	KPDK		KPDK					2.60		2.60		1.90																"Hans KreukSolo TOLs- Good job on your solo. You did great in the warm up."		
2026-05-11	N563A	PA-28-181	KAHN		KAHN					2.20		2.20																		"Hans KreukDual XC 1- Dual XC (attempt 1)
- 
- NavLog: Time is on the G500. We will start it before takeoff for the first leg.
- Watch altitude and heading. The first 1/3 of the PDK to AND leg we kept getting off. However, once the workload was reduced after leveling off and establishing flight following, you did well with this.
- Flight following: just keep practicing to make the calls smoother. Its good to practice with other students if you need to. Once you get the flow down it becomes a lot easier.
- Dont forget to write down the GS and minutes passing every leg
- One leg was 24 miles. You were able to find it but aim for a 15 mile max between points so you dont get lost
- Once we were close to AND we were about 6 miles south from the direct path from PDK to AND. Part of this was slightly drifting right consistently at the beginning, but also because the wind and velocity that was forecasted was slightly off from what we experienced, and what we dealt with pushed us south of course. You were still able to easily find all your point and AND so its good to see how the difference in the forecast and actual winds are!
- 
- AND entry SAT
- VOR usage: SAT. You did great flying inbound to the ELW VOR on the 360 radial. We also triangulated our position with the AHN VOR. Practice tuning and IDing VORs so its a little more fluid.
- Engine failure scenario: I recommend spending time memorizing the emergency checklist and flows. ABCDE. Dont forget to do the shutdown checklist where all fuel items are shut down before touch down. Also, if youre right near an airport, go to their CTAF instead of Guard since you need to communicate with pattern traffic. You were able to land safely at KEBA which was great!
- 
- We then noticed the oil pressure was fully high in the red. We diverted to AHN. We monitored oil temp as that would be an indication that we may need to shut the engine down to prevent a fire."		
2026-05-11	N980A	PA-28-181	KPDK		KPDK					0.60		0.60																		"Hans KreukLine Oriented Flight Training (LOFT)- Repo flight LZU to PDK"		
2026-05-12	N473A	PA-28-181	KPDK		KPDK					3.20		3.20																		"Hans KreukDual XC 1- Excellent NavLog
- Only thing was you restarted the timer a few miles before the first point did not document the GS and time en route. Everything else was good.
- Flight following was SAT too
- 
- VOR SAT
- 
- Engine Failure - to KEBA. For the ABCDE, if youre already near the airport go to CTAF, not Guard. For slip ailerons into wind opposite rudder. The wind indication on the bottom left of the G500 shows this. Landed right on 1000 footers! Good job.
- Rough engine: work to memorize emergency checklists. Regular checklist like the cruise, approach, etc should always be done with the checklist line by line. But, emergency items need to be memorized because sometimes you cannot waste time, example a fire or serious rough engine. Always go back to reference to make sure you completed all items though after doing the memory items.
- 
- The big kicker for this flight was me reminding you to complete the cruise checklist after leaving PDK, AND and CPP. You cannot forget that.
- Forgot items in the approach checklist. Actually pull out and use the checklist for cruise and approach, not just from memory. 
- Foggles: SAT
- Diversions: SAT"		
2026-05-13	N980A	PA-28-181	KCPP		KCPP					2.30		2.30																		"Hans KreukDual XC 2- All lights on crossing runways
- Navlog: SAT. Youve got a solid grasp on this. The only hiccup was at the beginning. You said you had I-85 to your left but it was to your right. Look left, forward and right to verify you have the correct highway/point.
- Great job with transition request w LZU tower and flight following calls!
- Once AND is in sight, knock out the approach checklist.
- Actually pull out the paper checklist for normal checklist items. Thats how you forget things!
- Mixture was leaned on final. Forget to richen on approach checklist and never went full rich configuring. Cannot miss it twice.
- After landing on RWY 23 you said ""off 3L taxi back via Alpha"". Think before calling. There isnt a 3L runway at AND. Also, if you dont know your taxi route, figure it out before saying it over CTAF. Taxi back to RWY 23 is ""taxi RWY 23 via Alpha, cross RWY 17 at A"". Dont say 'off runway'. Use 'clear of runway'. Same with taking off. ""Taking off runway 23"". Phrases like ""for 23"" can be confused with ""4 2 3"" which doesnt make sense.
- You must look left and right and clear a runway before crossing, especially at a untowered airport. Never cross the hold short line without doing this. This is how accidents happen. Radios are not required, or people may be on the wrong frequency. 
- VOR usage: SAT
- Engine roughness: SAT. Great job getting to KEBA and landings in the first 1/3
- Engine fire: UNSAT. Started using the ""electrical fire"" checklist not the ""engine fire"" checklist. Know your emergency checklists by memory. Pitch for 120, not 76. Once fire is out then you want to pitch for 76.
- Alternator failed: we continued to CPP for a full stop. Great job helping me with the checklist. You did the flying. You saw how I notified CTAF of the alternator failure in case we lost comms.
- 
- Down arrow is for:
- Did not do cruise checklist again today after PDK or AND without reminder
- Mixture leaned on final at AND before I added it to full rich. Did not pull out approach checklist. Did it from memory.
- Radio calls at AND and not clearing runway before crossing during taxi
- Emergency checklist - I need these memorized before I can send you on a solo XC. We will review these prior to the solo Friday. I want to hear the engine fire during start, engine fire airborne, electrical fire, engine failure and engine roughness checklists all without you looking at the checklist. Every second counts during an emergency, especially the fires.

- Great job with navlog, planning airport entries, flight following and with the alternator failure today! I have full confidence you will pass the eval tomorrow without issue"		
2026-05-14	N473A	PA-28-181	KPDK		KPDK					3.30		3.30																		"Hans KreukSolo XC Eval- KPDK-KAND
- When you are doing the checklist, occasionally look back at your instruments to make sure you haven’t veered off course. 
- Just the nearest page to help you figure out how far you are from the airport when you are getting flight following. 
- When you veered off your heading and you hit the next point and it’s farther away, make the correct to get closer so for the next point, you’ll be back on course.
- Nice job staying ahead of the plane by getting the approach checklist completed. 
- Made the correct entry for the correct runway (based off the winds from the ASOS). 
- Maintained situational awareness and made CTAF calls. 
- 
- KCPP
- Nice job tuning and ID the VOR on the ground. 
- Identified correctly what radial you were on. 
- Emergency: Engine roughness/failure. When you diverted to KEBA, make sure you hop on their CTAF to make calls to traffic in the area. 
- Triangulating VORs: Make sure you double check which VOR frequency you were on. 
- For the CTAF calls, you want to tell traffic how you are going to enter the pattern for each call you make. 
- 
- KPDK
- Zoom out on MFD so this helps you maintain situational awareness. 
- 
- Great job today! Enjoy the solo xc!"		
2026-05-19	N674A	PA-28-181	KPDK		KPDK					3.60		3.60		2.80																"Hans KreukSolo XCs- First solo XC! We will do it again tomorrow morning!"		
2026-05-20	N980A	PA-28-181	KPDK		KPDK					3.80		3.80		3.00																"Hans KreukSolo XCs-Solo XC number 2
- You have 10 hours of solo so we will do the night XC flight next!"		
2026-05-29	N563K	PA-28-181	KPDK		KPDK					3.20		3.20																		"Hans KreukNight- After a week of trying to get this flight in every day the weather finally held up!
- 
- Great job with navigating and with the night landings. All were SAT
- 
- Your mock checkride will be tomorrow afternoon."		
